Wall time,Step,Value
1498627858.0078576,33153,1.015375018119812
1498627871.1541643,33180,0.9519574046134949
1498627872.117322,33182,0.9938982725143433
1498627915.8929515,33272,1.0207796096801758
1498627950.20986,33342,1.0163655281066895
1498627963.5380745,33369,0.9819943904876709
1498627966.9899118,33376,0.9988306760787964
1498627980.537503,33404,1.0232712030410767
1498628046.7174425,33540,0.9967923760414124
1498628091.4754057,33632,1.040642499923706
1498628094.8791952,33639,1.0668855905532837
1498628138.8633435,33729,0.9826996922492981
1498628143.2637181,33738,1.0146496295928955
1498628149.134343,33750,1.0566768646240234
1498628158.4572048,33769,0.9787383079528809
1498628166.7816494,33786,0.9932777285575867
1498628193.2633927,33840,0.9726446866989136
1498628199.1068573,33852,0.9920924305915833
1498628211.123174,33877,0.9983844757080078
1498628228.9608545,33914,0.9888755679130554
1498628295.9400103,34018,0.9523284435272217
1498628305.0537045,34037,0.9791969060897827
1498628308.4127517,34044,1.0257025957107544
1498628330.4221685,34090,0.9944496154785156
1498628355.375015,34142,1.0213439464569092
1498628356.8237429,34145,1.01826012134552
1498628373.6855066,34180,1.0404434204101562
1498628436.3684921,34310,0.9824216961860657
1498628461.4417934,34362,0.9904307126998901
1498628461.933211,34363,1.0035845041275024
1498628472.087165,34384,1.040041446685791
1498628498.8204496,34439,1.0096008777618408
1498628541.2113721,34526,1.040399432182312
1498628541.7027192,34527,1.1364116668701172
1498628559.9923816,34565,1.010263204574585
1498628576.7725708,34600,1.0354381799697876
1498628581.1005404,34609,1.0259771347045898
1498628650.5319695,34752,1.0387303829193115
1498628666.152888,34784,0.991851806640625
1498628712.1822362,34879,1.0178114175796509
1498628810.8585844,35080,0.9954063892364502
1498628828.3598151,35116,0.9827279448509216
1498628858.5927167,35178,0.9837351441383362
1498628896.319747,35255,0.9975966215133667
1498628934.5171218,35334,1.0498225688934326
1498628944.6523063,35355,0.9902763366699219
1498628948.4962132,35363,1.0097132921218872
1498628954.7426925,35376,0.965794563293457
1498628955.711307,35378,1.0337412357330322
1498628958.6107213,35384,1.0620731115341187
1498629005.7996836,35482,0.9943904876708984
1498629006.765467,35484,0.9890463352203369
1498629048.656047,35571,1.0007655620574951
1498629050.1034408,35574,1.0044864416122437
1498629063.1396947,35601,0.9858975410461426
1498629146.363025,35772,1.0305372476577759
1498629149.774433,35779,1.0742746591567993
1498629181.7632642,35845,1.0288503170013428
1498629184.2055671,35850,0.9819969534873962
1498629234.863225,35954,1.0228216648101807
1498629243.1320126,35971,0.9851704835891724
1498629292.147434,36038,1.0117369890213013
1498629301.7291846,36058,1.0094765424728394
1498629353.6861935,36165,0.9659796953201294
1498629386.3628314,36232,0.9931632280349731
1498629393.661284,36247,0.977223813533783
1498629401.373817,36263,1.0100079774856567
1498629407.6395237,36276,0.9519370198249817
1498629424.4667833,36311,0.96775221824646
1498629437.0464842,36337,1.0483733415603638
1498629550.3300352,36570,0.9997130632400513
1498629579.249914,36630,1.0317890644073486
1498629593.7123988,36660,0.9905339479446411
1498629602.9345622,36679,1.0117703676223755
1498629645.9221094,36768,0.9918042421340942
1498629664.6664634,36807,0.986836850643158
1498629666.5943573,36811,0.9721904993057251
1498629670.9332912,36820,0.9891287088394165
1498629685.857803,36851,0.9584500193595886
1498629713.311664,36908,1.0406159162521362
1498629784.2586997,37054,1.0014865398406982
1498629840.3410847,37170,0.9983237981796265
1498629856.4966955,37203,0.9782187938690186
1498629909.4339783,37312,1.0086798667907715
1498629979.701217,37456,1.0472040176391602
1498629996.3747556,37490,0.9690371751785278
1498630130.659357,37765,0.951379120349884
1498630151.6536534,37808,1.004954218864441
1498630185.4706657,37877,1.0175957679748535
1498630307.1409955,38092,0.994442880153656
1498630355.978476,38193,1.0012257099151611
1498630382.6342773,38248,1.0013554096221924
1498630389.879794,38263,0.9582319259643555
1498630423.3792522,38332,0.9567692875862122
1498630439.971658,38366,1.0038962364196777
1498630476.0109284,38440,1.0324528217315674
1498630483.8562152,38456,0.9563304781913757
1498630489.2841318,38467,0.9811114072799683
1498630505.913844,38501,1.0075440406799316
1498630544.444237,38581,0.9642003774642944
1498630574.256115,38642,1.017516016960144
1498630574.748281,38643,1.0185743570327759
1498630603.307697,38701,0.9508423805236816
1498630613.0843642,38721,1.0497126579284668
1498630634.08416,38764,0.9881336688995361
1498630671.3912966,38841,0.9978357553482056
1498630740.3369648,38982,1.003332495689392
1498630751.6286523,39005,1.005789875984192
1498630752.1178236,39006,1.031300663948059
1498630817.8499174,39142,0.9514252543449402
1498630864.152404,39238,1.020276427268982
1498630892.877958,39297,1.074010968208313
1498630898.255898,39308,0.9928135275840759
1498631036.3535564,39592,0.9768030047416687
1498631090.3160765,39703,1.0174291133880615
1498631103.8536055,39731,0.9776934385299683
1498631128.69824,39782,1.004875898361206
1498631175.903685,39879,0.9543980360031128
1498631190.897353,39910,1.0114916563034058
1498631193.3094273,39915,1.0524049997329712
1498631201.5128672,39932,0.9986488819122314
1498631226.3084497,39983,0.982085645198822
1498631261.198641,40021,0.9387341737747192
1498631359.4365232,40225,0.9953132271766663
1498631394.3839827,40297,0.9764031171798706
